Группа_Компаний,Юр_Лицо,ИНН,Комментарий,Контакты_ListOrg,Директор_ListOrg,ListOrg_URL
группа Миргородского–Озерского (Вирма–СЗРК),"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ДАЛЬНЕВОСТОЧНАЯ КРАБОЛОВНАЯ КОМПАНИЯ""",2543164220,Краб,"Адрес: 690091, ПРИМОРСКИЙ КРАЙ, Г.О. ВЛАДИВОСТОКСКИЙ, Г ВЛАДИВОСТОК, УЛ СВЕТЛАНСКАЯ, Д. 51А, ПОМЕЩ. 27","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СЕВЕРО-ЗАПАДНАЯ РЫБОПРОМЫШЛЕННАЯ КОМПАНИЯ-МУРМАНСК""",
Группа Триера,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТРИЕРА М""",2543168190,,"Адрес: 690039, ПРИМОРСКИЙ КРАЙ, Г.О. ВЛАДИВОСТОКСКИЙ, Г ВЛАДИВОСТОК, УЛ ЕНИСЕЙСКАЯ, Д. 23Д, ПОМЕЩ. 2, ОФИС 700",Мячин Олег Владимирович,
ГК Антей,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АНТЕЙ""",2543174042,,"Адрес: 690039, ПРИМОРСКИЙ КРАЙ, Г.О. ВЛАДИВОСТОКСКИЙ, Г. ВЛАДИВОСТОК, УЛ. ЕНИСЕЙСКАЯ, Д. 23Д, ОФИС 405",Захарченко Евгений Иванович,
Южморрыбфлот,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТРЕСКА ПРИМОРЬЯ""",2543177727,,"Адрес: 690039, ПРИМОРСКИЙ КРАЙ, Г.О. ВЛАДИВОСТОКСКИЙ, Г ВЛАДИВОСТОК, УЛ ЕНИСЕЙСКАЯ, Д. 23Д, ПОМЕЩ. 2, ОФИС 700",Мячин Олег Владимирович,
Группа Триера,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ШРИМС""",2543177815,,"Адрес: 690039, ПРИМОРСКИЙ КРАЙ, Г.О. ВЛАДИВОСТОКСКИЙ, Г ВЛАДИВОСТОК, УЛ ЕНИСЕЙСКАЯ, Д. 23Д, ПОМЕЩ. 2, ОФИС 700",Касьянов Роман Александрович,
Группа Триера,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КАМБАЛЫ СЕВЕРА""",2543178907,,"Адрес: 690039, ПРИМОРСКИЙ КРАЙ, Г.О. ВЛАДИВОСТОКСКИЙ, Г. ВЛАДИВОСТОК, УЛ. ЕНИСЕЙСКАЯ, Д. 23Д, ПОМЕЩ. 2, ОФИС 700",Мячин Олег Владимирович,
Группа Триера,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КРЕВЕТКА ДВ""",2543180399,,"Адрес: 690039, ПРИМОРСКИЙ КРАЙ, Г.О. ВЛАДИВОСТОКСКИЙ, Г. ВЛАДИВОСТОК, УЛ. ЕНИСЕЙСКАЯ, Д. 23Д, ПОМЕЩ. 2, ОФИС 700",Мячин Олег Владимирович,https://www.list-org.com/company/14341294
ГК Гидрострой,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МИНТАЙ ПРОМ""",2543182371,,"Адрес: 681008, Хабаровский край, г Комсомольск-на-Амуре, Александровский пер, д 7",Макаров Сергей Владимирович,
ГК Гидрострой,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ОХОТСКАЯ СЕЛЬДЕВАЯ КОМПАНИЯ""",2543184876,,"Адрес: 681008, Хабаровский край, г Комсомольск-на-Амуре, Александровский пер, д 7",Ищенко Александр Иванович,https://www.audit-it.ru/contragent/1242500013238_ooo-osk
Росрыбфлот,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МОРЕС-ДВ""",2700016296,,"Адрес: 690108, ПРИМОРСКИЙ КРАЙ, Г.О. ВЛАДИВОСТОКСКИЙ, Г. ВЛАДИВОСТОК, УЛ. АРТЕКОВСКАЯ, Д. 7, КВ. 108",Перстнев Александр Иванович,https://www.audit-it.ru/contragent/1232700013094_ooo-mores-dv
Группа Триера,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПРИБРЕЖНОЕ 3""",2700016955,,"Адрес: 690039, ПРИМОРСКИЙ КРАЙ, Г.О. ВЛАДИВОСТОКСКИЙ, Г. ВЛАДИВОСТОК, УЛ. ЕНИСЕЙСКАЯ, Д. 23Д, ПОМЕЩ. 2, ОФИС 700",Мячин Олег Владимирович,https://www.audit-it.ru/contragent/1232700013754_ooo-pribrezhnoe-3
Сигма-Марин,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МОРСКОЙ ПРОСТОР""",2700045152,,"Адрес: 680011, Хабаровский край, г Хабаровск, ул Джамбула, д 80/1, помещ 16/2",Радионов Михаил Юрьевич,
ГК Гидрострой,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГОРИЗОНТ""",2700045160,,"Адрес: 680038, Хабаровский край, г Хабаровск, ул Серышева, д 34, офис 34/1",Радионов Михаил Юрьевич,
ГК Антей,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АНТЕЙ""",2704007990,,"Адрес: 690039, Приморский край, г Владивосток, Советский р-н, ул Енисейская, д 23Д, офис 502",Поломарь Андрей Михайлович,https://www.audit-it.ru/contragent/1022700912860_ooo-antey
Миккор,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПОЛЛУКС""",2704014652,,"Адрес: 680000, Хабаровский край, г Хабаровск, ул Тургенева, д 49, помещ 10/8",Лифанов Герман Германович,https://www.list-org.com/company/83590
Сигма-Марин,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТИХООКЕАНСКАЯ РЫБОПРОМЫСЛОВАЯ КОМПАНИЯ""",2712005764,,"Адрес: 680011, Хабаровский край, г Хабаровск, ул Джамбула, д 80/1, помещ 19/2",Володин Константин Русланович,
Группа Триера,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ РЫБОЛОВЕЦКАЯ КОМПАНИЯ ""НОВЫЙ ПУТЬ""",2715005770,,"Адрес: 680017, Хабаровский край, г Хабаровск, ул Пушкина, д 15А, офис 21",Самойленко Антон Александрович,https://www.audit-it.ru/contragent/1132720003371_ooo-rk-novyy-put
ДРУК,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""УХТА-ПРОМ""",2719004880,"Требует проверки (ИИ): Компания имеет управляющую компанию, но нет четкой информации о принадлежности к одной из кандидатных групп.","Адрес: 682432, Хабаровский край, Николаевский р-н, село Оремиф, ул Центральная, д 1","АКЦИОНЕРНОЕ ОБЩЕСТВО ""ДАЛЬНЕВОСТОЧНАЯ РЫБОПРОМЫШЛЕННАЯ УПРАВЛЯЮЩАЯ КОМПАНИЯ""",https://www.list-org.com/company/2979376
ГК Гидрострой,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АКВАРИУС""",2720046210,,"Адрес: 680017, Хабаровский край, г Хабаровск, ул Постышева, д 23, кв 83",Сафонов Олег Геннадьевич,https://www.audit-it.ru/contragent/1122720000237_ooo-akvarius
ГК РРПК,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ВОСТОКРЫБПРОМ""",2721023255,,"Адрес: 682800, Хабаровский край, г Советская Гавань, ул Пионерская, д 14, офис 410","ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РУССКАЯ РЫБОПРОМЫШЛЕННАЯ КОМПАНИЯ""",
Сигма-Марин,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ВОСТОЧНО-ПРОМЫСЛОВАЯ КОМПАНИЯ""",2721159312,,"Адрес: 680017, Хабаровский край, г Хабаровск, ул Пушкина, д 15А",Фукалова Дарья Владимировна,https://www.audit-it.ru/contragent/1082721005289_ooo-vpk
КУК,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АМУРСКОЕ""",2721227428,,"Адрес: 693020, САХАЛИНСКАЯ ОБЛАСТЬ, Г.О. ГОРОД ЮЖНО-САХАЛИНСК, Г. ЮЖНО-САХАЛИНСК, УЛ. ИМЕНИ Ф.Э.ДЗЕРЖИНСКОГО, Д. 21, ОФИС 306",Вилисов Максим Викторович,https://www.list-org.com/company/9331574
Сигма-Марин,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ДАЛЬНЕВОСТОЧНОЕ ПОБЕРЕЖЬЕ""",2722090350,,"Адрес: 680011, Хабаровский край, г Хабаровск, ул Джамбула, д 80/1, помещ 14",Арыков Алексей Владимирович,
Сигма-Марин,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ОДЖАН""",2722136815,,"Адрес: 680017, Хабаровский край, г Хабаровск, ул Пушкина, д 15А, офис 43",Фукалова Дарья Владимировна,
Сигма-Марин,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СИГМА МАРИН ТЕХНОЛОДЖИ""",2723050060,,"Адрес: 680000, Хабаровский край, г Хабаровск, ул Калинина, д 83А, офис 1",Базикалов Игорь Викторович,https://www.list-org.com/company/87247
ДРУК,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МЕРЛИОН""",2723194055,"Требует проверки (ИИ): Компания имеет конфликт с двумя кандидатными группами, но нет четких связей с известными группами.","Адрес: 690002, ПРИМОРСКИЙ КРАЙ, Г.О. ВЛАДИВОСТОКСКИЙ, Г ВЛАДИВОСТОК, ПР-КТ ОКЕАНСКИЙ, Д. 131В, ПОМЕЩ. 8, ОФИС 903, ЭТАЖ 9","АКЦИОНЕРНОЕ ОБЩЕСТВО ""ДАЛЬНЕВОСТОЧНАЯ РЫБОПРОМЫШЛЕННАЯ УПРАВЛЯЮЩАЯ КОМПАНИЯ""",https://www.list-org.com/company/9742096
Группа Триера,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ВОСТОК-ПЕРСОНАЛ ПЛЮС""",2724172030,,"Адрес: 680038, ХАБАРОВСКИЙ КРАЙ, Г.О. ГОРОД ХАБАРОВСК, Г ХАБАРОВСК, УЛ ФРУНЗЕ, Д. 100, ПОМЕЩ. -I (6-8, 10)",Андреева Владлена Анатольевна,
Группа Ягры,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЯГРЫ""",2901069731,,"Адрес: 163045, Архангельская обл, г Архангельск, Талажское шоссе, д 45",Антипин Леонид Александрович,
ГК ФОР,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РЫБОЛОВНАЯ КОМПАНИЯ ""БРИЗ""",2901099020,Торговля,"Адрес: 163046, Архангельская обл, г Архангельск, ул Поморская, д 39, помещ 17/18",Борисов Александр Викторович,https://www.list-org.com/company/3022503
группа Миргородского–Озерского (Вирма–СЗРК),"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ОМЕГА-ТРЕЙД""",2901127743,"[ИИ, high]: Связанные компании, такие как ООО 'ВИРМА' и ООО 'КАРАПАКС', принадлежат группе Миргородского–Озерского.","Адрес: 163030, Архангельская обл, г Архангельск, Ленинградский пр-кт, д 324, офис 419",Зарубин Сергей Викторович,https://www.list-org.com/company/577058
группа Миргородского–Озерского (Вирма–СЗРК),"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АРХАНГЕЛЬСКИЙ ТРАЛОВЫЙ ФЛОТ""",2901128602,"[ИИ, high]: Связанные компании, такие как ООО 'ВИРМА' и ООО 'КАРАПАКС', принадлежат группе Миргородского–Озерского.","Адрес: 163030, Архангельская обл, г Архангельск, Ленинградский пр-кт, д 324",Зарубин Сергей Викторович,https://www.list-org.com/company/4713
Колхоз Калинина,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АРХАНГЕЛЬСКИЙ ОПЫТНЫЙ ВОДОРОСЛЕВЫЙ КОМБИНАТ""",2901138167,,"Адрес: 163030, Архангельская обл, г Архангельск, Ленинградский пр-кт, д 328 к 1",Соколов Максим Сергеевич,https://www.list-org.com/company/21578
Группа Ягры,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПОМОР СИФУД""",2901251074,,"Адрес: 163045, Архангельская обл, г Архангельск, Талажское шоссе, д 45, офис 14",Антипин Леонид Александрович,
группа Миргородского–Озерского (Вирма–СЗРК),"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КАРАПАКС""",2901284295,,"Адрес: 163030, Архангельская обл, г Архангельск, Ленинградский пр-кт, д 324, офис 419",Буслович Андрей Игнатьевич,https://www.list-org.com/company/9693163
Колхоз Калинина,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГЛОБУС""",2901287730,,"Адрес: 164840, Архангельская обл, Приморский р-н, деревня Луда, зд 42А",Заика Андрей Анатольевич,
ГК АТФ,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПЕЛАГИКА""",2901299485,,"Адрес: 186601, Респ Карелия, Кемский р-н, поселок Рабочеостровск, ул Заводская, д 10, кв 4",Петленко Тарас Владимирович,
Группа Ягры,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МАРИНУС""",2901309542,,"Адрес: 163045, Архангельская обл, г Архангельск, Талажское шоссе, д 45, офис 3",Антипин Леонид Александрович,
Колхоз Калинина,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПУШЛАХТА""",2901312552,,"Адрес: 164840, АРХАНГЕЛЬСКАЯ ОБЛАСТЬ, М.О. ПРИМОРСКИЙ, Д ЛУДА, ЗД. 42А",Заика Андрей Анатольевич,https://www.list-org.com/company/13940351
Звезда моряка (Армяне),"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КОТЛАСРЫБПРОМ""",2904011867,,"Адрес: 183038, Мурманская обл, г Мурманск, ул Воровского, д 5/23, офис 409",Восканян Сергей Самвелович,
ГК Норебо,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""РЫБОЛОВЕЦКАЯ КОМПАНИЯ ""СОГРА""",2917001834,,"Адрес: 163000, Архангельская обл, г Архангельск, наб Северной Двины, д 112 к 3, офис 307",Старков Денис Алексеевич,
Колхоз Калинина,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СЕВНАУЧФЛОТ""",2917002250,,"Адрес: 127051, г Москва, Мещанский р-н, Цветной б-р, д 26 стр 1, помещ 21/1",Заика Андрей Анатольевич,https://www.list-org.com/company/3022115
ГК ФОР,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МЕГРА""",2917126142,,"Адрес: 164764, Архангельская обл, Мезенский р-н, деревня Мегра, д 34",Борисов Александр Викторович,
Колхоз Калинина,РЫБОЛОВЕЦКИЙ КОЛХОЗ ИМ. М. И. КАЛИНИНА,2921001587,,"Адрес: 164840, Архангельская обл, Приморский р-н, деревня Луда, зд 42А",Заика Андрей Анатольевич,https://www.audit-it.ru/contragent/1022901497266_rk-im-m-i-kalinina
Колхоз Калинина,"СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ ""РЫБОЛОВЕЦКИЙ КОЛХОЗ ""БЕЛОМОР""",2921001636,,"Адрес: 163556, Архангельская обл, Приморский р-н, деревня Летняя Золотица",Самойлов Сергей Николаевич,
Группа Ягры,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""УНА""",2921128544,,"Адрес: 164840, Архангельская обл, Приморский р-н, деревня Луда, зд 42А",Кемейшо Сергей Леонович,
Колхоз Калинина,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АТЛАС""",2921128720,,"Адрес: 164840, АРХАНГЕЛЬСКАЯ ОБЛАСТЬ, М.О. ПРИМОРСКИЙ, Д ЛУДА, ЗД. 42А",Заика Андрей Анатольевич,
группа Миргородского–Озерского (Вирма–СЗРК),"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""БАГАЖ""",2983002679,,"Адрес: 163030, Архангельская обл, г Архангельск, Ленинградский пр-кт, д 324",Каменный Вячеслав Дмитриевич,https://www.audit-it.ru/contragent/1058383000400_ooo-bagazh
МурманСиФуд,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЗАПАДРЫБОПРОДУКТ""",3900016538,,"Адрес: 183038, Мурманская обл, г Мурманск, ул Карла Маркса, д 28",Хижняков Владимир Алексеевич,
ГК ФОР,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МОРСКАЯ ЗВЕЗДА""",3903017709,,"Адрес: 236039, Калининградская обл, г Калининград, Московский р-н, ул А.Суворова, д 57, офис 405",Бирюков Олег Евгеньевич,
ГК ФОР,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""НАУЧНО-ПРОМЫШЛЕННОЕ ОБЪЕДИНЕНИЕ ""АТЛАНТРЫБФЛОТ""",3905000203,,"Адрес: 236039, Калининградская обл, г Калининград, Московский р-н, ул А.Суворова, д 57, офис 401Д",Серенков Владимир Анатольевич,
СЗРК,ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ РЫБОПРОМЫШЛЕННАЯ КОМПАНИЯ ФАРОСТ-БАЛТИКА,3905037323,,"Адрес: 238345, Калининградская обл, г Светлый, поселок Волочаевское, Спортивный пер, д 2, офис 1",Кузиков Дмитрий Сергеевич,
ГК ФОР,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""РЫБОПРОМЫШЛЕННАЯ КОМПАНИЯ""РЫБФЛОТ-ФОР""",3908021441,,"Адрес: 236039, Калининградская обл, г Калининград, Московский р-н, ул А.Суворова, д 57, офис 401А",Серенков Владимир Анатольевич,
ГК Океанрыбфлот,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ОКЕАНРЫБФЛОТ""",4100000530,,"Адрес: 683003, Камчатский край, г Петропавловск-Камчатский, ул Ленинградская, д 27",Новоселов Евгений Аликович,https://www.list-org.com/company/6366
ГК Норебо,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""БЛАФ""",4100002721,,"Адрес: 683016, Камчатский край, г Петропавловск-Камчатский, ул Мишенная, д 131, офис 21",Лысенко Сергей Алексеевич,https://www.list-org.com/company/49175
ГК Океанрыбфлот,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КАМЧАТТРАЛФЛОТ""",4100006691,"Сверка PCA-списка (25.03.2026): подтверждено графом связей DaData (125 связанных юрлиц, включая прямой узел АО 'ОКЕАНРЫБФЛОТ' ИНН 4100000530) -> группа ГК Океанрыбфлот. Ранее ошибочно перенесена в 'Группу Тихрыбком' по совпадению фамилии директора (Котов) с Tikhrybcom Co., Ltd. -- но патронимы разные (Владимир Викторович vs Николай Михайлович) и граф связей Тихрыбкома с Камчаттралфлотом не подтверждает. Возврат в ГК Океанрыбфлот.","Адрес: 683902, Камчатский край, г Петропавловск-Камчатский, ул Чавычная, д 19",Котов Владимир Викторович,
ГК Норебо,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РОСКАМРЫБА""",4100021636,,"Адрес: 683001, Камчатский край, г Петропавловск-Камчатский, ул Ленинская, д 38, офис 304",Кучугуров Олег Геннадьевич,https://www.list-org.com/company/85645
Росрыбфлот,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЮПИТЕР ВОСТОК""",4100043608,,"Адрес: 683020, Камчатский край, г Петропавловск-Камчатский, ул Дальняя, д 28/1",Руденко Олег Геннадьевич,
Росрыбфлот,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ФОРТУНА""",4100051479,,"Адрес: 683902, Камчатский край, г Петропавловск-Камчатский, ул Чавычная, д 19",Котов Владимир Викторович,https://www.list-org.com/company/14592150
Росрыбфлот,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""САНФИШ 1""",4100052151,,"Адрес: 683020, Камчатский край, г Петропавловск-Камчатский, ул Дальняя, д 28/1",Рекасов Владимир Васильевич,
ГК Гидрострой,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""САНФИШ 2""",4100052169,,"Адрес: 683020, Камчатский край, г Петропавловск-Камчатский, ул Дальняя, д 28/1",Радионов Михаил Юрьевич,
ГК Гидрострой,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""САНФИШ 3""",4100052176,,"Адрес: 683020, Камчатский край, г Петропавловск-Камчатский, ул Дальняя, д 28/1",Радионов Михаил Юрьевич,
Росрыбфлот,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""САНФИШ 4""",4100052183,,"Адрес: 683020, Камчатский край, г Петропавловск-Камчатский, ул Дальняя, д 28/1",Налабордин Сергей Иванович,
ГК РРПК,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МИНТАЙ-РК""",4100052440,,"Адрес: 690001, ПРИМОРСКИЙ КРАЙ, Г.О. ВЛАДИВОСТОКСКИЙ, Г. ВЛАДИВОСТОК, УЛ. ПУШКИНСКАЯ, Д. 87, ОФИС 16Г",Кищенков Антон Валерьевич,
Росрыбфлот,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГЕРМЕС 1""",4100052673,"[ИИ, high]: Связанные компании, такие как ООО 'РОСРЫБФЛОТ', принадлежат группе Росрыбфлот.","Адрес: 683020, Камчатский край, г Петропавловск-Камчатский, ул Дальняя, д 28/1",Радионов Михаил Юрьевич,
Росрыбфлот,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГЕРМЕС 2""",4100052680,,"Адрес: 683020, Камчатский край, г Петропавловск-Камчатский, ул Дальняя, д 28/1",Радионов Михаил Юрьевич,https://www.list-org.com/company/14747971
Росрыбфлот,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГЕРМЕС 3""",4100052698,,"Адрес: 683020, Камчатский край, г Петропавловск-Камчатский, ул Дальняя, д 28/1",Радионов Михаил Юрьевич,https://www.list-org.com/company/14747972
Росрыбфлот,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АНТАРЕС 1""",4100052708,,"Адрес: 683020, Камчатский край, г Петропавловск-Камчатский, ул Дальняя, д 28/1",Радионов Михаил Юрьевич,https://www.list-org.com/company/14745268
Росрыбфлот,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АНТАРЕС 2""",4100052715,"[ИИ, high]: Связанные компании, такие как ООО 'РОСРЫБФЛОТ', принадлежат группе Росрыбфлот.","Адрес: 683902, Камчатский край, г Петропавловск-Камчатский, ул Чавычная, д 19",Котов Владимир Викторович,
Росрыбфлот,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АНТАРЕС 3""",4100052722,,"Адрес: 683020, Камчатский край, г Петропавловск-Камчатский, ул Дальняя, д 28/1",Радионов Михаил Юрьевич,https://www.list-org.com/company/14745270
Росрыбфлот,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КАЙРОС 1""",4100052730,,"Адрес: 690108, ПРИМОРСКИЙ КРАЙ, Г.О. ВЛАДИВОСТОКСКИЙ, Г. ВЛАДИВОСТОК, УЛ. АРТЕКОВСКАЯ, Д. 7, КВ. 108",Перстнев Александр Иванович,
Росрыбфлот,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КАЙРОС 2""",4100052747,,"Адрес: 683020, Камчатский край, г Петропавловск-Камчатский, ул Дальняя, д 28/1",Руденко Олег Геннадьевич,
Росрыбфлот,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КАЙРОС 3""",4100052754,,"Адрес: 683020, Камчатский край, г Петропавловск-Камчатский, ул Дальняя, д 28/1",Руденко Олег Геннадьевич,
Росрыбфлот,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КАЙРОС 4""",4100052761,,"Адрес: 683020, Камчатский край, г Петропавловск-Камчатский, ул Дальняя, д 28/1",Руденко Олег Геннадьевич,
ГК Доброфлот,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГЕЙЗЕР""",4100054141,"Требует проверки (ИИ): Компания связана с несколькими группами через узлы графа связей, но нет явного указания на принадлежность к одной из них.","Адрес: 692756, ПРИМОРСКИЙ КРАЙ, Г.О. АРТЕМОВСКИЙ, Г. АРТЕМ, УЛ. ПОТЕМКИНА, Д. 15, ОФИС 203",Ефремова Арина Леонидовна,
ГК Доброфлот,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КАЛЬДЕРА""",4100054159,"Требует проверки (ИИ): Компания имеет те же связи, что и ООО ""ГЕЙЗЕР"", но нет явного указания на принадлежность к одной из групп.","Адрес: 692756, ПРИМОРСКИЙ КРАЙ, Г.О. АРТЕМОВСКИЙ, Г. АРТЕМ, УЛ. ПОТЕМКИНА, Д. 15, ОФИС 203",Ефремова Арина Леонидовна,
Росрыбфлот,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЗЕВС 1""",4100054663,,"Адрес: 683020, Камчатский край, г Петропавловск-Камчатский, ул Дальняя, д 28/1",Руденко Олег Геннадьевич,
Росрыбфлот,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЗЕВС 2""",4100054670,,"Адрес: 683020, Камчатский край, г Петропавловск-Камчатский, ул Дальняя, д 28/1",Руденко Олег Геннадьевич,
